prompts,feelings
i prepare i feel thankful that these events touch upon so many different concerns in my poetry from language issues to pacific aesthetics from the avant garde to eco poetry,"Gratitude, Diversity, Preparation"
i met my present boyfriend on a boat trip to england we had said that we would call each other when we got back to sweden we were not going to the same town in england as soon as i walked in he called from england as he could not wait till he came home,"Connection, Anticipation, Joy"
i feel inspired so many thing i want to write down,"Inspired, Creativity, Eagerness"
im very hurt and i feel unimportant,"Hurt, Neglected, Unimportance"
i feel like uninstalling skype deactivateing all of my facebook amp hatena accounts since im becoming a hateful person amp i dont want to get any worse than i am right now,"Withdrawal, Anger, Sadness"
i began to feel shaky and nauseous and yearned for my connection to cairns to make up for some of the deprivation,"Weakness, Nausea, Longing"
i was feeling adventurous though so i went with some asian flavors of ginger and sesame oil for my salad,"Adventure, Exploration, Flavor"
i was playing a sport in an advanced pe class and many of the people were not advanced,"Inclusion, Disappointment, Skill"
i cause extreme worry and distress ground to remember fondly you forever mary prepares to feel unfortunate time eventuallythe intense emotion have sexual lovein condescend to come she by hand puts out strength wu mouth dont let oneself cry out,"Anxiety, Fear, Love"
i feel so greedy of holidays and forgetting my responsibilities,"Desire, Indulgence, Guilt"
i mean i feel like a broke record sometimes,"Repetition, Frustration, Boredom"
i am feeling rather heartless because i recently heard the words unconditional love and could not find it in myself,"Heartless, Emotional distance, Coldness"
i feel dissatisfied and more accustomed to healing,"Dissatisfaction, Healing, Custom"
im feeling doubtful about all of the patterns and colors working together but we cant be sure until everything comes together,"Doubt, Pattern, Uncertainty"
i want to get back in the habit of blogging about all the cool fun things im up to but am also trying to get out of this rut of only writing about feeling shitty,"Inspiration, Dismay, Writing"
i am still healing from having my heart broken still healing from broken dreams still doubting myself still feeling confused,"Healing, Doubt, Confusion"
i gents been feeling lousy over the last few weeks which ended up with a trip to the hospital last saturday which put a damper on the wedding anniversary,"Illness, Dampening, Anniversary"
i read about him and learn about him in his interviews the more i feel like i could never deserve someone so kind and compassionate,"Kindness, Admiration, Unworthiness"
i feel thats just strange on wotcs behalf,"Peculiarity, Strategy, Disapproval"
i take a walk in the park feeling joyful,"Joyful, Nature, Simplicity"
i feel calm silent and protected by the definiteness of this existence,"Calm, Safety, Definiteness"
i want to feel assured that my life will be good and i know it will be when i trust the lord,"Assurance, Faith, Optimism"
i feel safe with berry,"Protection, Safety, Trust"
im feeling envious already,"Envy, Desire, Yearning"
i suck up is the boring dull town and the feeling being missed by my family and bf,"Boredom, Missed, Isolation"
i feel like i have all these cute things but i dont feel comfortable in them and dont know how to put them together,"Insecurity, Discomfort, Uncertainty"
i feel like an emotional cutter,"Emotional pain, Self-harm, Sadness"
i wake up in morning and when i go to sleep at evening i feel that seed voice in my heart that is screaming out from my empty stitched heart,"Emptiness, Longing, Screaming"
i received the blanket i was absolutely amazed on how fluffy it is and extremely soft i really didnt think it was going to feel that amazing,"Amazement, Softness, Surprise"
i feel that sometimes im not talented enough,"Doubt, Insecurity, Talent"
i feel it would be foolish and perhaps a little disrespectful to consider doing the long hilly race,"Foolishness, Disrespect, Caution"
i mention my oldest child before my youngest will her feelings be hurt,"Exclusion, Hurt, Attention"
i woke up today feeling kind of strange,"Unsettled, Foreignness, Discomfort"
im sick of feeling unimportant like nobody needs me,"Unimportant, Neglect, Sadness"
i am feeling quite distressed and dejected over my battle with insomnia,"Distress, Dejection, Insomnia"
i feel hated in cempaka,"Hatred, Rejection, School"
i do feel numb but only because i have so many fucking feels that i ve shorted out from feeling them,"Numbness, Overwhelm, Shutdown"
i often use disney to cheer me up when im feeling low and these past couple days have been no exception,"Cheer, Distraction, Sadness"
ive been feeling a little defeated maybe even over looked,"Defeated, Overlooked, Sadness"
i feel shy because of what i am wearing,"Shyness, Insecurity, Awareness"
i can say is that as long as you enjoy the story it entertains you and makes you feel emotional whether it be sad happy angry disgusted or just plain horny then who really gives a damn,"Entertainment, Emotion, Indifference"
i wept while jackson slept feeling overwhelmed by the feeling that i don t want to die,"Overwhelm, Fear, Dying"
i feel confident to be me again in personal life and right when my work life was going well with my boss slowly understanding why i continually ask for and demand we address the tough issues that cause problems with our various departments,"Confidence, Personal growth, Understanding"
i dont know whether his presence is the reason why i feel more homesick for the uk than the us or just by being here makes me miss my former home,"Homesickness, Longing, Confusion"
i mentioned in my last blog that i have started to get the feeling that i have been pressured into studying things i do not like which has also made me into a person i might not fully be,"Pressure, Dislike, Alienation"
i only do unwillingly and always leaves me feeling grouchy and unsettled,"Unwillingness, Irritability, Discomfort"
i have to give it to men as women we complain a lot about the heals we have to wear but at least we can wear a dress and feel cool in the summer,"Coolness, Summer, Relief"
i feel like i should be listening to chinesepod and working on my mandarin but what i really want to listen to is the savage love podcast or car talk,"Indifference, Desire, Entertainment"
